"route_id","contract_id","update_permission","contract_type"
"7","304901","0","6"
"8","304901","0","6"
"02","304901","0","6"
"03","304901","0","6"
"04","304901","0","6"
"06","304901","0","6"
"09","304901","0","6"
"12","304901","0","6"
"13","304901","0","6"
"40","304901","0","6"
"001","304901","0","6"
"011","304901","0","6"
"101","19879302","0","6"
"102","19879302","0","6"
"103","19879302","0","6"
"104","19879302","0","6"
"114","19879302","0","6"
"124","19879302","0","6"
"127","19879302","0","6"
"129","19879302","0","6"
"131","19879302","0","6"
"201","19879303","0","6"
"202","19879303","0","6"
"202P","19879303","0","6"
"203","19879303","0","6"
"204","19879303","0","6"
"205","19879303","0","6"
"206","19879303","0","6"
"207","19879303","0","6"
"211","19879303","0","6"
"212","19879303","0","6"
"214","19879303","0","6"
"215","19879303","0","6"
"400","711657","0","6"
"401","xxxx","0","10"
"420","711744","0","6"
"425","711744","0","6"
"440","712285","0","6"
"460","711599","0","6"
"465","711599","0","6"
"480","711651","0","6"
"490","711651","0","6"
"500","712135","0","6"
"540","714333","0","1"
"0112","19879302","0","6"
"1010","19879302","0","6"
