"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","municipality_id","stop_desc","stop_timezone","wheelchair_boarding","platform_code","vehicle_type"
"23313","Jo5002","Liperi Linja-autoasema","62.53201718408487","29.38820779513188","2","","0","","426","","","0","",""
"23475","Jo0023","Hukanhauta E","62.585622953851676","29.793795146175643","1","","0","","167","","","0","",""
"23476","Jo0024","Hukanhauta P","62.585226804495484","29.79417128023813","1","","0","","167","","","0","",""
"23483","Jo0001","Aarnionkatu P","62.58307677","29.79587646","1","","0","","167","","","0","",""
"23484","Jo0002","Aarnionkatu E","62.58252483","29.79632605","1","","0","","167","","","0","","3"
"23493","Jo0212","Savikkola P","62.57820037","29.79992479","1","","0","","167","","","0","",""
"23494","Jo0211","Savikkola E","62.57869972","29.79955644","1","","0","","167","","","0","",""
"23501","Jo0149","Niinivaara P","62.588080172961355","29.791821948527044","1","","0","","167","","","0","",""
"23502","Jo0150","Niinivaara E","62.588188631857385","29.791733207851582","1","","0","","167","","","0","",""
"23515","Jo0171","Peltolankatu E","62.59386975661315","29.76640231435352","1","","0","","167","","","0","",""
"23516","Jo0208","Sairaala PKKS E","62.59246648","29.78074957","1","","0","","167","","","0","",""
"23517","Jo0207","Sairaala PKKS P","62.592924783637415","29.779646765582132","1","","0","","167","","","0","",""
"23518","Jo0270","Vesitorninpuisto P","62.59143217","29.78845416","1","","0","","167","","","0","",""
"23519","Jo0271","Vesitorninpuisto E","62.590977283487234","29.789280011791075","1","","0","","167","","","0","",""
"23530","Jo0239","Tiaisenpuisto P","62.59488596474646","29.77590579254057","1","","0","","167","","","0","",""
"23531","Jo0240","Tiaisenpuisto E","62.59534757011778","29.775685425606365","1","","0","","167","","","0","",""
"23532","Jo0051","Karjalankatu L","62.59580907","29.77867149","1","","0","","167","","","0","",""
"23533","Jo0050","Karjalankatu I","62.5956382","29.77681936","1","","0","","167","","","0","",""
"23556","","JOENSUU","62.60090281655986","29.777020098573892","1","","0","","167","","","0","",""
"23557","Jo0056","Kauppatori L","62.600120577819986","29.760961186508183","1","","0","","167","","","0","",""
"23575","Jo0282","Joensuun pääkirjasto I","62.60203606","29.75114032","1","","0","","167","","","0","",""
"23586","Jo0067","Kettuvaara  I","62.60299651","29.80287577","1","","0","","167","","","0","",""
"23587","Jo0066","Kettuvaara  L","62.60302158","29.80114855","1","","0","","167","","","0","",""
"23590","Jo0277","Yliopistokatu P","62.60468642","29.74164807","1","","0","","167","","","0","",""
"23591","Jo0278","Yliopistokatu E","62.60424536","29.7422278","1","","0","","167","","","0","",""
"23604","","Koulukatu P","62.606784","29.761667","1","","0","","167","","","0","",""
"23605","","Koulukatu E","62.60696","29.761819","1","","0","","167","","","0","",""
"23619","Jo0244","Tulliportinkatu E","62.61394177","29.73971893","1","","0","","167","","","0","",""
"23632","Jo0038","Kaislakatu P","62.61308051292914","29.739090654805338","1","","0","","167","","","0","",""
"23633","Jo0037","Kaislakatu E","62.61298569428422","29.73878481777121","1","","0","","167","","","0","",""
"23638","Jo0236","Teollisuuskatu P","62.609286410344424","29.775589330000404","1","","0","","167","","","0","",""
"23639","Jo0235","Teollisuuskatu E","62.60905129","29.77544788","1","","0","","167","","","0","",""
"23642","Jo0035","Jukolankatu P","62.61473798","29.80970723","1","","0","","167","","","0","",""
"23643","Jo0034","Jukolankatu L","62.61413474","29.80862609","1","","0","","167","","","0","",""
"23646","Jo0145","Mutala P","62.61828051","29.78894642","1","","0","","167","","","0","",""
"23647","Jo0144","Mutala E","62.6174406","29.78890577","1","","0","","167","","","0","",""
"23658","Jo0256","Utran kirkko I","62.62079893","29.87277588","1","","0","","167","","","0","",""
"23659","Jo0255","Utran kirkko L","62.6207708","29.87265852","1","","0","","167","","","0","",""
"23660","Jo0152","Noljakantori P","62.62607514","29.69559788","1","","0","","167","","","0","",""
"23661","Jo0151","Noljakantori E","62.62507646","29.69562124","1","","0","","167","","","0","",""
"23672","Jo0153","Noljakka L","62.62726970519802","29.695908221720945","1","","0","","167","","","0","",""
"23673","","Noljakka ramppi I","62.627321923986635","29.70078959844589","1","","0","","167","","","0","",""
"23676","Jo0130","Marjalantie I","62.62874006","29.69256615","1","","0","","167","","","0","",""
"23677","Jo0129","Marjalantie L","62.62932597","29.69146073","1","","0","","167","","","0","",""
"23688","Jo0095","Kuusela L","62.63110772","29.68577594","1","","0","","167","","","0","",""
"23689","Jo0096","Kuusela I","62.63055344","29.68747192","1","","0","","167","","","0","",""
"23690","Jo0131","Marjalantori I","62.6326167","29.66172431","1","","0","","167","","","0","",""
"23691","Jo0132","Marjalantori L","62.63270018550792","29.66054043055974","1","","0","","167","","","0","",""
"53325","","Ilomantsi linja-autoasema","62.671864","30.933886","6","","0","","146","","","0","",""
"53769","","Tohmajärvi MH (Järnefeltintie 8)","62.224659","30.33461","4","","0","","848","","","0","",""
"106201","Jo0043","Kanervala P","62.614273","29.768993","1","","0","","167","","","0","","3"
"111725","","Lentoasemantie L","62.63533494","29.63747726","1","","0","","426","","","0","",""
"111750","Jo0197","Reijola E","62.54346100924526","29.839916775376672","2","","0","","167","","","0","",""
"111751","Jo0198","Reijola P","62.54421740401493","29.83851533681088","2","","0","","167","","","0","",""
"111752","Jo0199","Reijolan koulu P","62.54552236","29.83386923","2","","0","","167","","","0","",""
"111754","Jo0224","Siirtolantie E","62.54761226","29.8297132","1","","0","","167","","","0","",""
"111755","Jo0225","Siirtolantie P","62.54792903","29.82921049","1","","0","","167","","","0","",""
"111756","Jo0233","Tempontie P","62.54991808398418","29.826865729407302","1","","0","","167","","","0","",""
"111757","Jo0234","Tempontie E","62.54941773","29.82735403","1","","0","","167","","","0","",""
"111758","Jo0013","Haapajoki P","62.55548926583064","29.82168925596904","1","","0","","167","","","0","",""
"111759","Jo0014","Haapajoki E","62.55535313505553","29.82180859078819","1","","0","","167","","","0","",""
"111760","Jo0089","Kukkola  P","62.55951396922231","29.81731279671185","1","","0","","167","","","0","",""
"111761","Jo0088","Kukkola E","62.56080824100877","29.815901660513838","1","","0","","167","","","0","",""
"111762","Jo0265","Varpaniemi E","62.564450603228835","29.81181220237203","1","","0","","167","","","0","",""
"111763","Jo0264","Varpaniemi P","62.564919137868905","29.81130329993372","1","","0","","167","","","0","",""
